Ort;Plats;Invånare;Medianinkomst;Andel lägenheter;Andel BRF;Elbilspenetration;Lägenhetsålder;Område;Tidigt på plats;Skyltning;Rating
Ort 1;Plats 1;5704;326152;0,201;0,035;0,0993;3;3;1;2;GOOD
Ort 2;Plats 2;2000;308894;0,05;0,084;0,0616;4;3;2;1;BAD
Ort 3;Plats 3;24400;298155;0,492;0,104;0,0749;2;2;2;3;POOR
Ort 4;Plats 4;24400;298155;0,492;0,104;0,0749;2;2;2;3;POOR
Ort 5;Plats 5;70000;475000;0,99;0,715;0,348;2;2;3;2;BAD
Ort 6;Plats 6;70000;475000;0,99;0,715;0,348;3;2;2;2;FAIR
Ort 7;Plats 7;23650;331549;0,6;0,25;0,1115;2;2;2;2;FAIR
Ort 8;Plats 8;20272;385000;0,976;0,746;0,348;1;1;2;2;POOR
Ort 9;Plats 9;13772;425526;0,42;0,6;0,1362;3;1;1;2;POOR
Ort 10;Plats 10;156000;485000;0,99;0,707;0,348;3;2;2;2;GOOD
Ort 11;Plats 11;13061;296647;0,45;0,072;0,0444;2;2;1;3;FAIR
Ort 12;Plats 12;13061;296647;0,45;0,055;0,0444;3;2;1;3;POOR
Ort 13;Plats 13;13061;296647;0,45;0,072;0,0444;2;2;1;3;POOR
Ort 14;Plats 14;13061;296647;0,45;0,09;0,0444;2;1;1;2;FAIR
Ort 15;Plats 15;56074;379850;0,93;0,5;0,1669;2;1;1;2;GOOD
Ort 16;Plats 16;125000;435300;0,99;0,562;0,348;3;2;2;2;FAIR
Ort 17;Plats 17;125000;435300;0,99;0,562;0,348;3;2;1;2;GOOD
Ort 18;Plats 18;18870;400000;0,824;0,468;0,1338;2;1;1;2;FAIR
Ort 19;Plats 19;18870;400000;0,824;0,468;0,1338;3;2;1;2;FAIR
Ort 20;Plats 20;8832;309219;0,31;0,8;0,0592;3;2;1;2;GOOD
Ort 21;Plats 21;8832;309219;0,31;0,8;0,0592;2;1;1;2;BAD
Ort 22;Plats 22;2500;309219;0,258;0,065;0,0592;2;2;1;2;POOR
Ort 23;Plats 23;8832;309219;0,28;0,074;0,0592;2;1;1;2;FAIR
Ort 24;Plats 24;17436;309219;0,31;0,8;0,0592;2;2;1;2;GOOD
Ort 25;Plats 25;3200;288870;0,23;0,07;0,0567;3;2;1;3;GOOD
Ort 26;Plats 26;1450;288870;0,184;0,01;0,0567;2;1;1;3;BAD
Ort 27;Plats 27;3200;288870;0,184;0,01;0,0567;2;2;1;3;POOR
Ort 28;Plats 28;967;288870;0,15;0,01;0,0567;2;2;1;3;BAD
Ort 29;Plats 29;11400;323028;0,38;0,09;0,0771;2;1;1;3;POOR
Ort 30;Plats 30;11400;323028;0,32;0,079;0,0771;2;2;1;3;BAD
Ort 31;Plats 31;10;386606;0;0;0,129;4;4;1;1;FAIR
Ort 32;Plats 32;840;386606;0,05;0,7;0,129;2;4;1;3;POOR
Ort 33;Plats 33;520;386606;0,05;0,25;0,129;3;4;1;3;BAD
Ort 34;Plats 34;25000;386606;0,5;0,6;0,129;3;1;1;3;GOOD
Ort 35;Plats 35;25000;386606;0,6;0,65;0,129;3;2;1;3;GOOD
Ort 36;Plats 36;1700;386606;0,15;0,15;0,129;4;4;1;3;FAIR
Ort 37;Plats 37;25000;386606;0,322;0,265;0,129;3;3;1;3;GOOD
Ort 38;Plats 38;25000;386606;0,2;0,6;0,129;2;1;1;3;GOOD
Ort 39;Plats 39;1200;386606;0,17;0,6;0,129;2;1;1;3;FAIR
Ort 40;Plats 40;50;386606;0;0;0,129;4;4;1;3;BAD
Ort 41;Plats 41;6151;472400;0,48;0,55;0,1594;3;3;1;3;GOOD
Ort 42;Plats 42;2110;322416;0,1;0,139;0,1101;4;3;2;3;BAD
Ort 43;Plats 43;71802;460000;0,99;0,594;0,348;3;2;2;2;GOOD
Ort 44;Plats 44;71802;460000;0,99;0,594;0,348;3;2;2;2;GOOD
Ort 45;Plats 45;71802;460000;0,99;0,594;0,348;3;2;2;2;GOOD
Ort 46;Plats 46;71802;460000;0,99;0,594;0,348;3;2;2;2;GOOD
Ort 47;Plats 47;71802;460000;0,99;0,594;0,348;3;1;1;2;EXCELLENT
