Plats;Område;Invånare;Andel lägenheter;Andel BRF;Lägenhetsålder;Medianinkomst;Områdestyp;Tidigt på plats;Elbilspenetration;Skyltning;kWh;Kostnad/LP;# of LP;Rating
Plats1;Area1;15903;0,201;0,035;2;326152;2;2;0,0993;1;528,24;43400;10;GOOD
Plats2;Area2;2200;0,389;0,084;3;308894;3;2;0,0616;;43,66;0;2;BAD
Plats3;Area3;34210;0,492;0,104;1;298155;2;1;0,0749;2;53,27;54840;6;POOR
Plats4;Area4;34210;0,492;0,104;1;298155;2;1;0,0749;2;94,15;56120;5;POOR
Plats5;Area5;70000;0,99;0,715;1;475000;5;0;0,348;1;35,02;141258;6;BAD
Plats6;Area6;70000;0,99;0,715;2;475000;5;1;0,348;1;167,5;39625;8;FAIR
Plats7;Area7;40539;0,401;0,166;1;331549;5;1;0,1115;1;215,73;42750;4;FAIR
Plats8;Area8;20272;0,976;0,746;0;385000;1;1;0,348;1;123,12;89881;6;POOR
Plats9;Area9;24683;0,313;0,265;2;425526;1;2;0,1362;1;15,45;48083;6;POOR
Plats10;Area10;156000;0,99;0,707;2;485000;5;1;0,348;1;260,09;3500;10;GOOD
Plats11;Area11;13061;0,322;0,055;1;296647;1;2;0,0444;2;98,95;38000;5;FAIR
Plats12;Area12;13061;0,322;0,055;2;296647;1;2;0,0444;2;44,46;38000;6;POOR
Plats13;Area13;13061;0,322;0,055;1;296647;1;2;0,0444;2;36,77;48083;2;POOR
Plats14;Area14;13061;0,322;0,055;1;296647;1;2;0,0444;1;9,45;38000;6;FAIR
Plats15;Area15;56074;0,872;0,456;1;379850;1;2;0,1669;1;340,67;95000;6;GOOD
Plats16;Area16;125000;0,99;0,562;2;435300;1;1;0,348;1;113,09;86134;12;FAIR
Plats17;Area17;125000;0,99;0,562;2;435300;5;2;0,348;1;224,47;100696;8;GOOD
Plats18;Area18;18870;0,824;0,468;1;400000;1;2;0,1338;1;175,04;103375;9;FAIR
Plats19;Area19;18870;0,824;0,468;2;400000;1;2;0,1338;1;218,83;79700;6;FAIR
Plats20;Area20;17436;0,258;0,065;2;309219;2;2;0,0592;1;401,23;24494;2;GOOD
Plats21;Area21;17436;0,258;0,065;1;309219;1;2;0,0592;1;74,95;24494;7;BAD
Plats22;Area22;17436;0,258;0,065;1;309219;1;2;0,0592;1;61,04;24494;4;POOR
Plats23;Area23;17436;0,258;0,065;1;309219;1;2;0,0592;1;116,94;24494;8;FAIR
Plats24;Area24;17436;0,258;0,065;1;309219;5;2;0,0592;1;223,7;24494;7;GOOD
Plats25;Area25;12319;0,184;0,007;2;288870;3;2;0,0567;2;377,02;3500;4;GOOD
Plats26;Area26;12319;0,184;0,007;1;288870;1;2;0,0567;2;42,35;3500;2;BAD
Plats27;Area27;12319;0,184;0,007;1;288870;3;2;0,0567;2;55,94;3500;4;POOR
Plats28;Area28;12319;0,184;0,007;1;288870;3;2;0,0567;2;169,29;32273;2;BAD
Plats29;Area29;25050;0,301;0,079;1;323028;1;2;0,0771;2;48,94;68250;6;POOR
Plats30;Area30;25050;0,301;0,079;1;323028;2;2;0,0771;2;53,3;103571;4;BAD
Plats31;Area31;35076;0,322;0,265;3;386606;2;2;0,129;0;769,37;120627;1;FAIR
Plats32;Area32;35076;0,322;0,265;1;386606;4;2;0,129;2;38,28;6487;4;POOR
Plats33;Area33;35076;0,322;0,265;2;386606;4;2;0,129;2;13,63;6487;2;BAD
Plats34;Area34;35076;0,322;0,265;2;386606;5;2;0,129;2;539,61;6487;4;GOOD
Plats35;Area35;35076;0,322;0,265;2;386606;5;2;0,129;2;307,11;6487;4;GOOD
Plats36;Area36;35076;0,322;0,265;3;386606;4;2;0,129;2;162,17;6487;4;FAIR
Plats37;Area37;35076;0,322;0,265;2;386606;2;2;0,129;2;208,77;6487;4;GOOD
Plats38;Area38;35076;0,322;0,265;1;386606;4;2;0,129;2;329,11;56324;2;GOOD
Plats39;Area39;35076;0,322;0,265;1;386606;4;2;0,129;2;98,84;64536;4;FAIR
Plats40;Area40;35076;0,322;0,265;3;386606;4;2;0,129;2;5,29;58700;4;BAD
Plats41;Area41;11899;0,402;0,303;2;472400;5;2;0,1594;2;477,74;87500;6;GOOD
Plats42;Area42;97574;0,455;0,139;3;322416;4;1;0,1101;2;10,38;40000;8;BAD
Plats43;Area43;71802;0,99;0,594;2;460000;5;1;0,348;1;174,75;28116;60;GOOD
Plats44;Area44;71802;0,99;0,594;2;460000;5;1;0,348;1;243,89;28994;23;GOOD
Plats45;Area45;71802;0,99;0,594;2;460000;5;1;0,348;;167,39;129520;31;GOOD
Plats46;Area46;71802;0,99;0,594;2;460000;5;1;0,348;1;304,54;6487;15;GOOD
Plats47;Area47;71802;0,99;0,594;2;460000;1;2;0,348;1;467,95;57083;14;EXCELLENT
